plant_name,status,country,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
Kiara Bay,Normal,Malaysia,21/1/2025,1004.18,167.24,3.25,3260.12,1297349.83,3.25,KUALA LUMPUR,3,2.383333333,2.145,Normal,36.36,FALSE
Menara PJD,Normal,Malaysia,18/5/2024,80.145,11.98,3.9,312.55,150076.95,3.9,KUALA LUMPUR,3,2.383333333,2.145,Normal,63.64,FALSE
Toa Paint Kepong Warehouse,Offline,Malaysia,2/11/2023,25.74,0,0,0,75562.85,0,KUALA LUMPUR,3,2.383333333,2.145,Underperforming,-100,TRUE
QL ENDAU MARINE,Offline,Malaysia,1/8/2025,430.28,0,1.4,601.95,445071.75,1.4,KUALA ROMPIN,2,1.005,0.9045,Normal,39.3,FALSE
TIMURIKAN TRENGGANU MARINE PRODUCTS SDN BHD,Normal,Malaysia,8/12/2025,260.4,18.04,0.61,159.22,11365.04,0.61,KUALA ROMPIN,2,1.005,0.9045,Underperforming,-39.3,TRUE
AFI BRAKE MANUFACTURING SDN BHD,Normal,Malaysia,2/10/2023,454.3,163.86,4.03,1829.3,1282191.94,4.03,KUALA TERENGGANU,3,2.68,2.412,Normal,50.37,FALSE
AFI METAL,Normal,Malaysia,14/3/2024,55.35,19.52,4.01,222.13,119312.45,4.01,KUALA TERENGGANU,3,2.68,2.412,Normal,49.63,FALSE
REDANG LAGOON RESORT,Offline,Malaysia,16/2/2023,53.41,0,0,0,0,0,KUALA TERENGGANU,3,2.68,2.412,Underperforming,-100,TRUE
C0156_DENIM CODE,Normal,Malaysia,4/9/2022,86.445,22.68,3.87,334.26,368997.31,3.87,KULIM,1,3.87,3.483,No comparison required,0,FALSE
Eco Oils - Lahad Datu,Normal,Malaysia,15/10/2024,39.78,9.43,3.5,139.25,57395.6,3.5,LAHAD DATU,1,3.5,3.15,No comparison required,0,FALSE
Lunas Jaya Petrol Sdn Bhd,Normal,Malaysia,19/3/2025,25.86,17.3,4.06,104.95,30774.84,4.06,LUNAS,1,4.06,3.654,No comparison required,0,FALSE
QL PAJAM PHASE 2,Normal,Malaysia,5/8/2025,566.68,316.79,2.97,1685.17,416881.32,2.97,MANTIN,1,2.97,2.673,No comparison required,0,FALSE
Fibertex Phase 2,Normal,Malaysia,30/8/2024,1251.704,279.69,5.01,6268.66,3019898.5,5.01,NILAI,2,4.285,3.8565,Normal,16.92,FALSE
WEIDA MARKETING SDN. BHD.,Normal,Malaysia,1/12/2022,500.31,77.74,3.56,1781.03,1669629.49,3.56,NILAI,2,4.285,3.8565,Underperforming,-16.92,TRUE
KLH Sdn Bhd,Normal,Malaysia,5/9/2024,265.005,123.2,3.91,1036.79,428662.3,3.91,PADANG SERAI,1,3.91,3.519,No comparison required,0,FALSE
QL AGROVENTURE,Normal,Malaysia,19/5/2022,418.965,74.83,1.43,598.3,1335509.32,1.43,PAPAR,1,1.43,1.287,No comparison required,0,FALSE
